Links,Video_title,Video pub­lish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions-click-through rate (%)
0SOaN4GUNZw,Kichhu Kichhu Kotha Full clear karaoke download | Arijit Singh Kaushiki | Lorai| Link in description,"May 20, 2020",560,31057,923.9229,122,163310,15.4
qT_AQ7LfRQQ,Shaabaashiyaan (Mission Mangal) Full Clear Karaoke with lyrics || Download link from description,"Dec 17, 2019",558,34660,1201.2852,182,170360,15
OgBHCcxKhOM,Main Suneya Full original karaoke with lyrics || Ammy Virk || Get free karaoke from Robin2bin,"May 28, 2020",267,7150,200.4643,39,48376,11.52
P8H5BqsK0Ek,Subhash ji Full karaoke with lyrics || GUMNAAMI || Sonu Nigam,"Jan 12, 2020",258,11544,290.1723,42,74121,11.12
YrANVumZIcc,Ganesh pancharatnam Stotram Full original karaoke(unplugged) || Get free karaoke from Robin2bin,"Apr 17, 2020",216,17668,380.2397,117,84973,16.25
hK36Vpeaojo,Param Sundari karaoke/instrumental |Mimi| |AR Rahaman | Shreya Ghosal| Kirti Sanon,"Jul 18, 2021",204,10976,179.5895,36,62775,13.73
kGnYZgV9sWE,Tui Chunli Jokhon karaoke|Arijit Singh Shreya Ghosal| Free original karaoke from Robin2bin,"Sep 8, 2020",191,9537,218.7121,35,52486,15.24
Gb_S6KMGcwc,Somarohe Esho he karaoke - Ek je chhilo Raja | Robin2bin,"Feb 7, 2021",188,11072,238.7838,29,47083,17.83
mIKO1myweV8,Hardum Humdum Original Karaoke with lyrics - Arijit Singh | LUDO|,"Oct 31, 2020",169,10056,235.8304,14,58242,13.29
AEp4BjByS_8,Tulsi Kumar - Hum phir na mile kabhi karaoke with lyrics (without chorous) |MALANG,"Jul 9, 2020",165,5828,175.9144,32,38123,10.92
GAGMVMTXp-o,Bharat Amar Bharatbarsha KARAOKE/INSTRUMENTAL || Manna Dey,"Aug 10, 2021",157,10776,372.5119,59,48856,13.41
xEb4xDmWlS4,Dil Bechara Title Track Karaoke Download | Sushant Singh Rajput |Download link in description,"Jul 10, 2020",156,4998,77.4735,21,43947,9.15
6WXghuJEfDo,Teri laadki me full karaoke ||Angrezi medium||Irfan khan|karaoke download link in description,"Mar 11, 2020",150,12273,280.8769,21,86932,10.11
GoqMezLEJd4,Gahana Kusuma Kunja Majhe FULL KARAOKE (unplugged)(with lyrics)|| Robijyoti sen,"Jul 12, 2019",147,10280,168.7923,30,43719,18.8
KKagR5G8GgA,Channa Ve full karaoke with lyrics download from link || BHOOT PART ONE - The haunted ship|,"Feb 15, 2020",129,12074,165.5866,58,57814,16.68
X-9CPDpXLzs,Ek thukda dhoop full karaoke download ||THAPPAD|| Download karaoke from Description,"Feb 5, 2020",113,7544,172.1016,17,50968,11.47
