,Links,Video_title,Video pub­lish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions-click-through rate (%),Thumbnails
0,https://rr2---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676855299&ei=o3PyY5r-ILmBjMwP_LmYgA4&ip=223.223.140.253&id=o-AEmPchkyOaMrGFIKrVUIenE0R_w0-pvGWCCRDmAE4Fb1&itag=18&source=youtube&requiressl=yes&mh=WR&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h557snzy&ms=au%2Crdu&mv=m&mvi=2&pl=21&initcwndbps=1095000&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=273.252&lmt=1636338029666487&mt=1676833509&fvip=3&fexp=24007246&c=ANDROID&txp=6218224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgcqYniJ3r7T94eEQMav8YshCofI4bcDO0YTlWO3AyAJYCIDvx-ZHRwo_GkmzMMmv_9atQ8Xkorz2nhk5xH7svIRAS&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgZkX6X78qFTvPKrPVHp9nykZS1PtNuL0dsEslEfeUnWcCIGA6ScNBF00aNLhVbZURiup9Y40YV_54BRyvZ0L2maAM,Kichhu Kichhu Kotha Full clear karaoke download | Arijit Singh Kaushiki | Lorai| Link in description,"May 20, 2020",560,31057,923.9229,122,163310,15.4,https://i.ytimg.com/vi/0SOaN4GUNZw/sddefault.jpg
1,https://rr4---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676855303&ei=p3PyY6LSC9O4rtoPj4GuiA4&ip=223.223.140.253&id=o-ALmsvXUIe5TEDDM8pZ-SdN-2npIlR1NcBFfzcjcWIJJt&itag=18&source=youtube&requiressl=yes&mh=of&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h5576ns6&ms=au%2Crdu&mv=m&mvi=4&pl=21&initcwndbps=1076250&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=280.497&lmt=1672812468229070&mt=1676833509&fvip=5&fexp=24007246&c=ANDROID&txp=6219224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIgOjqFa3nOGkxCC-E0lPFIo_Gt_cC4DIKqGDP5BhS0AcECIQD7wgAkK9_xj-RIPqkwc0_pZ2-QLt-1lVvOK4Ok73Q-6w%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhAIwpgCyrQrdeZc7tdpmQB-rGg_FK9G5nuSZzskqT2ylFAiAUunPyYHZgTIdzN9y8fFH_HPFq5pwOF8bMnHx6pKfszw%3D%3D,Shaabaashiyaan (Mission Mangal) Full Clear Karaoke with lyrics || Download link from description,"Dec 17, 2019",558,34660,1201.2852,182,170360,15.0,https://i.ytimg.com/vi/qT_AQ7LfRQQ/sddefault.jpg
2,https://rr4---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676855305&ei=qXPyY5usBtOJrQG_lpPgBw&ip=223.223.140.253&id=o-AAl5aB1Lcijr_Ub6PRXhBO9cOZHlLqWFharweRMlZngn&itag=18&source=youtube&requiressl=yes&mh=qs&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h557sn66&ms=au%2Crdu&mv=m&mvi=4&pcm2cms=yes&pl=21&initcwndbps=1162500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=305.458&lmt=1635483122448317&mt=1676833266&fvip=4&fexp=24007246&c=ANDROID&txp=6218224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgScDuENB3Mr_WOpojpJkMM__8trBDyWddkav3HLEd_OACIBmQjW7sBYxVy0FAaEay28beHADr-InyFBaslSlf1xg_&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgDiFycMcM1n1f3JC7Hz4EcbqUFBZw6RNeLX3NGGOtJUACIQCvyiQtXnfnuOdyUDtGi79vvxUdXiusPLqREo2jUdozNg%3D%3D,Main Suneya Full original karaoke with lyrics || Ammy Virk || Get free karaoke from Robin2bin,"May 28, 2020",267,7150,200.4643,39,48376,11.52,https://i.ytimg.com/vi/OgBHCcxKhOM/sddefault.jpg
3,https://rr3---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676855306&ei=qnPyY6fVOteMjMwPlbiVuA4&ip=223.223.140.253&id=o-ACOadxn-2tAXRvWJ5Bix69_ECIO-9VY-SpPvlBMFdOxV&itag=22&source=youtube&requiressl=yes&mh=30&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h5576nsz&ms=au%2Crdu&mv=m&mvi=3&pl=21&initcwndbps=1162500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=182.694&lmt=1673649322103805&mt=1676833266&fvip=2&fexp=24007246&c=ANDROID&txp=5311224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgFmrmQaLsi6t4dQ0AaOMO4A1ua6A030E8BguII3eJe7YCIFLOKOR4r5hRR6ePoaAgbMqixArhx9SmYd6aSwjFn1kP&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgeO6hFMCqVbRlHqer26SMtY4A_yxAzfLkJSjOMR4rjqgCIH5Fcs97oOTenbnjh1k-7aGuL_oJVaJSRxkSYg2O7iEO,Subhash ji Full karaoke with lyrics || GUMNAAMI || Sonu Nigam,"Jan 12, 2020",258,11544,290.1723,42,74121,11.12,https://i.ytimg.com/vi/P8H5BqsK0Ek/sddefault.jpg
4,https://rr1---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676855308&ei=rHPyY7fnM_-yrtoPt_uukAE&ip=223.223.140.253&id=o-AC6yeRt5RhaWL_aJaDYd2zPItfN03MXr9mBsoNLjFv8M&itag=18&source=youtube&requiressl=yes&mh=zf&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h557sn6e&ms=au%2Crdu&mv=m&mvi=1&pl=21&initcwndbps=1008750&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=345.745&lmt=1657777679335988&mt=1676833266&fvip=3&fexp=24007246&c=ANDROID&txp=5318224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgNLvlTwgbw36MxMHdOexlUL-rzP4NpiCxaSWO01jQbbICIFXYwYQX1RzEQ_gzfDC8qwVMODtjGND2KtsbKHxsMM1f&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgW8jtFhDkLQxBIJU1bas8qOBoFzjXn5AUi-F2d5n9Hg4CIQDcXklgHNcEZQqurNzj6pY4gJBMHyVr8qtVdoaVQnvp8g%3D%3D,Ganesh pancharatnam Stotram Full original karaoke(unplugged) || Get free karaoke from Robin2bin,"Apr 17, 2020",216,17668,380.2397,117,84973,16.25,https://i.ytimg.com/vi/YrANVumZIcc/sddefault.jpg
5,https://rr2---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676855310&ei=rnPyY6DoK-KNjMwPjLKHqAI&ip=223.223.140.253&id=o-AAzzV3L_DgMVMDqIt9NNscggI9IHz8fdtmsnkQqcRS65&itag=22&source=youtube&requiressl=yes&mh=Z2&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h557sn6z&ms=au%2Crdu&mv=m&mvi=2&pl=21&initcwndbps=1008750&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=190.357&lmt=1632395234448724&mt=1676833266&fvip=3&fexp=24007246&c=ANDROID&txp=5311224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIhAI7F4JzhsqgoeXg4-tHBUVGRuPY2TfkQDXIooYaw6xVoAiBfMfHvRTiEjdop_cWA0qrLN22NBwh3RrWH2-QimLO6uA%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhAIJMqKaipIXUZhm-cyklByRvXWKZyW4duqgdsq5FctpjAiBS_JBa86kQVTo9KmcIunfx6Ss9-VM-Ty6XQl0si-AM-g%3D%3D,Param Sundari karaoke/instrumental |Mimi| |AR Rahaman | Shreya Ghosal| Kirti Sanon,"Jul 18, 2021",204,10976,179.5895,36,62775,13.73,https://i.ytimg.com/vi/hK36Vpeaojo/sddefault.jpg
6,https://rr1---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676855312&ei=sHPyY8KzJoGHrtoPp-aywAo&ip=223.223.140.253&id=o-AHdm0dYgKcyU0yJfxclVoB4L8-ksVCDl8b_OzaXjuQlh&itag=22&source=youtube&requiressl=yes&mh=8o&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h557sn6d&ms=au%2Crdu&mv=m&mvi=1&pl=21&initcwndbps=1162500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=321.108&lmt=1599585603053878&mt=1676833266&fvip=3&fexp=24007246&c=ANDROID&txp=6211222&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRgIhAOTAqg7HgjcfNJg_lykB7SDMlw5Hu_eicXursvYIznd_AiEAzNmg3o5fVCZyF_EGrVemaFt-sTWV6hjPuoQqYpaGhEg%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgAV1nrotxTtr77paYsPc-2txJasvdpJdMn7ycKxpJ9nQCIAlGEiM1Cld5oWSahyGeCv1twYpU9XYRyrmh59p58gQ6,Tui Chunli Jokhon karaoke|Arijit Singh Shreya Ghosal| Free original karaoke from Robin2bin,"Sep 8, 2020",191,9537,218.7121,35,52486,15.24,https://i.ytimg.com/vi/kGnYZgV9sWE/hqdefault.jpg
7,https://rr3---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676855314&ei=snPyY__NGpWSrQHW_77gBw&ip=223.223.140.253&id=o-AG-mz6pfiEdjU4Ws9bRCcr2cfcBPUxifKgaxlyz42sgs&itag=22&source=youtube&requiressl=yes&mh=P5&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h557snzy&ms=au%2Crdu&mv=m&mvi=3&pl=21&initcwndbps=1162500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=206.100&lmt=1672978692900239&mt=1676833266&fvip=3&fexp=24007246&c=ANDROID&txp=6211224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgGyQjsyZOtCyzhJQ3-47dy59znw9aY0l23yf6yl4VUT8CIC7RmTc8rYlF89LvDymTPBHh4QbOV-4rb5tx8MSL1EFT&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgQMrAdhbdI_PHZoQw9YHDvDr_Z4vxbrAg9ukH7dX7EqsCIDHp9e8XzkRJVPKvAZEUtSJe7TQg6J80PuxZrKdQ9Js5,Somarohe Esho he karaoke - Ek je chhilo Raja | Robin2bin,"Feb 7, 2021",188,11072,238.7838,29,47083,17.83,https://i.ytimg.com/vi/Gb_S6KMGcwc/sddefault.jpg
8,https://rr2---sn-fpnioxu-jj0l.googlevideo.com/videoplayback?expire=1676855316&ei=tHPyY_T2HOu9rtoPlJyB8Ac&ip=223.223.140.253&id=o-ANkrf9HiSTT-bL2lgeo9AOyPJ4CGHXiIsNYWXTE55PcD&itag=18&source=youtube&requiressl=yes&mh=Pv&mm=31%2C29&mn=sn-fpnioxu-jj0l%2Csn-h5576nsr&ms=au%2Crdu&mv=m&mvi=2&pl=21&initcwndbps=1212500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=187.756&lmt=1637847271651174&mt=1676833266&fvip=2&fexp=24007246&c=ANDROID&txp=6218224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIgeJiE0-01PufQLXbVOwVBiKuMQubH2wG8vrYhQ5X0WysCIQCz6dghp8viyxgZNVEZedw7wKeOJOa6QmsL2dguFRYKUQ%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgV7kTmvbxBUsRDMZMkw9zqEosVYhA_4OJfe7vUUv2NDYCIFbyXy74-n52q4kzZmOMwMfoNy7m9pIHnDlsA8kGst-I,Hardum Humdum Original Karaoke with lyrics - Arijit Singh | LUDO|,"Oct 31, 2020",169,10056,235.8304,14,58242,13.29,https://i.ytimg.com/vi/mIKO1myweV8/sddefault.jpg
9,https://rr3---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676855318&ei=tnPyY-r2E_i7rtoP3J284Ac&ip=223.223.140.253&id=o-AI0qTuFNtFq_UWg51nmKxj_2wwV53D9iI_FaaGWpUjwj&itag=18&source=youtube&requiressl=yes&mh=hP&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h5576nsz&ms=au%2Crdu&mv=m&mvi=3&pl=21&initcwndbps=1162500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=188.708&lmt=1671182101320208&mt=1676833266&fvip=2&fexp=24007246&c=ANDROID&txp=6219224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIhAIfmLuJgwkDSIo8nirg_9JTcmzOXI5v_dB0NX-ikFTUIAiAn43t7pKe0uZz3HuxJzxcozanaMp7cO-BjR-Z3S5lnvg%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgVtT041EXf5GMTwgL-jvh5AvF9VgWRB901h_cHEfayk4CIA0EgACQm1FEuINqbZCNnZRUTFbRSi2nTZfXUNQU18nc,Tulsi Kumar - Hum phir na mile kabhi karaoke with lyrics (without chorous) |MALANG,"Jul 9, 2020",165,5828,175.9144,32,38123,10.92,https://i.ytimg.com/vi/AEp4BjByS_8/sddefault.jpg
