Links,Video_title,Video publish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
e5VF1vK2aCY,Murli Manohar Mohan Murari Full karaoke with lyrics |Star plus Mahabharat|Robin2bin,"Aug 11, 2020",391,13370,347.6907,67,99338,10.47
OpbJgoKXH9o,Aapni Maati haay Karaoke download | Shreya Ghosal | Shantanu Moitro,"Aug 16, 2020",179,10466,388.3486,28,56348,13.62
XFdrlYEplkQ,Channa Ve unplugged karaoke (trial from channel Robin2bin),"Aug 2, 2020",133,13290,189.3432,16,39760,28.99
6jNZGdzayDg,"MASKHARI |A collaboration with Sunidhi Chauhan,Hriday Gattani and Robin2bin|Dil Bechara","Aug 5, 2020",26,120,3.4606,20,840,3.69
5XuiI2itRus,Abaad Barbaad Arijit Singh INSTRUMENTAL with claps and tabla Original karaoke link in description,"Oct 21, 2020",14,437,5.4065,2,7478,4.56
FCS7iqWyhTk,Rang Bhariya - DARBAAN | Full Song | Tabla Cover,"Nov 25, 2020",14,239,5.424,2,3617,5.14
JbqTcKAWGxw,Tumi Sondharo Meghomala | Achena Uttam | Robin2bin edition,"Sep 14, 2022",13,177,6.9954,5,1076,8.46
4hhaIybrO3k,Modhuro nupuro Rumu jhumu Original song with modern mastering|Nazrul Geeti Anup Ghosal|,"Sep 15, 2020",11,185,5.669,2,2843,5.31
_-DEF60HxtA,Tujhe Bhoolna Toh Chaaha -  Drumpad and tabla cover | Rochak K ft. Jubin N,"Mar 31, 2021",11,249,6.541,2,1440,10.42
Lk0TUNXbutk,Nach Meri Rani | Full song tabla || Electronic tabla version,"Oct 20, 2020",9,90,1.3638,0,2143,2.89
xABjmpILxBI,NAYAN -  Electronic tabla cover | Dhvani B Jubin N,"Dec 8, 2020",9,422,7.1335,3,4199,7.93
rSAV1GuGWFc,Zinda Dili - Arijit singh || Full song | BHOOMI 2020,"Dec 14, 2020",7,53,1.4213,1,1565,1.73
ePeRw6hjUiA,Happy World music day 2021 | COLLECTIONS FROM MY COVERS,"Jun 21, 2021",6,38,1.8738,0,443,3.61
ZStOnt08dmU,Meri Tum Ho(LUDO) Jubin N(Full Song Scale lowered) - Robin2bin Edition TABLA COVER,"Nov 8, 2020",5,38,1.2776,1,443,2.26
mrj3MkBvQ0k,Kiston Jubin Nautiyal unplugged | Roohi | Janvi Varun Rajkumar,"Mar 11, 2021",5,132,1.5478,0,1283,8.18
5K7dFUnmEEQ,Pagglait title track Drumpad Cover | Arijit Singh,"Mar 17, 2021",4,25,0.6042,0,644,2.64
FIMLQlDJ8Fw,Thode se kam ajnabi - Pagglait | Drumpad cover | Arijit Singh,"Mar 22, 2021",4,50,1.0729,1,1612,2.36
r7Qb5RZE6Pw,"Is Qadar | Tulsi Kumar, Darshan Raval | Dhol and drumpad cover","Apr 8, 2021",4,29,0.4514,0,523,3.63
wIwStq5Z78g,Dhak baja Kasor Baja | TABLA EDITION | Robin2bin version Durga Puja special,"Oct 16, 2020",4,9,0.2906,1,20,5
Ylw7ipIDPD8,Radha - Dhvani Bhanushali | Drumpad cover | Robin2bin,"Mar 22, 2021",3,19,0.2587,0,501,2.99
KlpHuDssSNA,"Dil Melt Karda **TABLA COVER** Haseen Dillruba |Taapsee P,Vikrant M, Harshvardhan R| Amit T","Jun 16, 2021",2,24,0.3877,0,382,3.14
