,Links,Video_title,Video publish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),Thumbnails
0,https://rr2---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676854940&ei=PHLyY67GEMOgvwTy36oY&ip=223.223.140.253&id=o-AM_Og8ZvBvh5LKjnmG1bSHRKE8X1MDg85-LZ71BpyCcx&itag=22&source=youtube&requiressl=yes&mh=Jr&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h5576nee&ms=au%2Crdu&mv=m&mvi=2&pcm2cms=yes&pl=21&initcwndbps=1003750&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=270.117&lmt=1597144518479148&mt=1676833028&fvip=4&fexp=24007246&c=ANDROID&txp=6211222&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRgIhAMvH1SslA00MaVFQ0SrfGkt8FZEcf_pzK1_bIWrz489jAiEAuTtyJ2KohCt8fIBrBdaruhs6j2xA8h3TAQ4jBpG4OxU%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhALk3YHoWDN3b65dTxgUi1VvwqJBHDxs6b6FwD-tKna1RAiB9chREwgGjLipUsR8j-jwD10c7wAr1kTlXdAV_q8L3AA%3D%3D,Murli Manohar Mohan Murari Full karaoke with lyrics |Star plus Mahabharat|Robin2bin,"Aug 11, 2020",391,13370,347.6907,67,99338,10.47,https://i.ytimg.com/vi/e5VF1vK2aCY/sddefault.jpg
1,https://rr2---sn-fpnioxu-jj0l.googlevideo.com/videoplayback?expire=1676854944&ei=QHLyY-msMo-C9fwPoMiHYA&ip=223.223.140.253&id=o-ADxkiOSWfEo-4mEaVkm26c9V539pI8LC_cBZZPsNPMIw&itag=18&source=youtube&requiressl=yes&mh=t2&mm=31%2C29&mn=sn-fpnioxu-jj0l%2Csn-h557snzy&ms=au%2Crdu&mv=m&mvi=2&pl=21&initcwndbps=1286250&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=203.035&lmt=1662818482566235&mt=1676833028&fvip=5&fexp=24007246&c=ANDROID&txp=5318224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIhAIwp2NGR2EO7LSn7H2h3hYHgQ2sjo8QUoXzTLovhiBI8AiBsNFb9mu50Ou6avEHNZTCHrPFwwqqEFbXw6uPNK7UOng%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgUyUQaeHnjTnJyGlG7w1oNld-I4dez2FGZ4HuiT9LJ2oCIFqvd7rHrK1jdIa1b3SQXfa1PKch_W5b4_I3YULUtJpl,Aapni Maati haay Karaoke download | Shreya Ghosal | Shantanu Moitro,"Aug 16, 2020",179,10466,388.3486,28,56348,13.62,https://i.ytimg.com/vi/OpbJgoKXH9o/sddefault.jpg
2,https://rr1---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676854946&ei=QnLyY_6mKMyEvQTIz7DoBg&ip=223.223.140.253&id=o-APcX8w0QtT3gv2AdaiyRD3ulf0e7EVSB6Mlf7DdbLgy4&itag=18&source=youtube&requiressl=yes&mh=lG&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h5576n7r&ms=au%2Crdu&mv=m&mvi=1&pcm2cms=yes&pl=21&initcwndbps=1003750&vprv=1&mime=video%2Fmp4&gir=yes&clen=6233659&ratebypass=yes&dur=208.747&lmt=1596388676516482&mt=1676833028&fvip=3&fexp=24007246&c=ANDROID&txp=6216222&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgNBUsr67_qA0-wu33Hd_fS8Duz8Wc4CrOtsx0l3MY-DkCIAe1wqkToOh8iym1tO-o166wlTUtU492PMfZnoGlt7bA&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgd4cV_Z9TC-474NAwG0DGq-c-vFROshzkPy_Zv4ZWYQECIQCyehMbaZfu7P6QH6MVUhHlf3hk_dCKcAcYz8jZTvK6bg%3D%3D,Channa Ve unplugged karaoke (trial from channel Robin2bin),"Aug 2, 2020",133,13290,189.3432,16,39760,28.99,https://i.ytimg.com/vi/XFdrlYEplkQ/hqdefault.jpg
3,https://rr2---sn-fpnioxu-jj0l.googlevideo.com/videoplayback?expire=1676854948&ei=RHLyY97DMpa1wgObyK_ICQ&ip=223.223.140.253&id=o-AKugK3vx9QmgMh-wmlLUjuFSBiW2PB29WbE6EAH4UqJO&itag=22&source=youtube&requiressl=yes&mh=VQ&mm=31%2C29&mn=sn-fpnioxu-jj0l%2Csn-h5576n7k&ms=au%2Crdu&mv=m&mvi=2&pl=21&initcwndbps=1286250&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=193.073&lmt=1670621885159867&mt=1676833028&fvip=5&fexp=24007246&c=ANDROID&txp=6211224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIgEGfyr_sk88ExIo2RKTEznnJWgLCJ1DZvh8fMNVvmE7ICIQCoYs-QQHt4N75NouON_IsWDdwDUXWF3RVPeUgX5krhdw%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgGhb76hMomvvyQ_EENAakoIDSmL_rW69GxTh9jFTJr-MCIEbUtIBPr4GdPtOUtlYEW1r3AD5EIB5VJKhhZTpHrkm3,"MASKHARI |A collaboration with Sunidhi Chauhan,Hriday Gattani and Robin2bin|Dil Bechara","Aug 5, 2020",26,120,3.4606,20,840,3.69,https://i.ytimg.com/vi/6jNZGdzayDg/sddefault.jpg
4,https://rr4---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676854950&ei=RnLyY4qoKYef9fwP55KjCA&ip=223.223.140.253&id=o-ACQlV5mlLaEYLCGlWvPmIxtl4SQGs-IvBBok3OozF9nI&itag=18&source=youtube&requiressl=yes&mh=70&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h557sn6l&ms=au%2Crdu&mv=m&mvi=4&pl=21&initcwndbps=1062500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=309.754&lmt=1674733619728031&mt=1676833028&fvip=2&fexp=24007246&c=ANDROID&txp=6219224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgKeFvMtcFTwDpEM9peveePl94D9zc2sp-HJ4bqsSDA28CIDXTwHWRkKJU7hs7BCSARaQsP3kjfweKvhhXEk4kO7Xj&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhAKIK6tCb5yXOFPwY_wndOI_5fGWmEvgPIsB4VOl8J05rAiA1S8xwCpkXdYB6dTVH_BHdxZAoIKHFjNOqYe6mwErw3w%3D%3D,Abaad Barbaad Arijit Singh INSTRUMENTAL with claps and tabla Original karaoke link in description,"Oct 21, 2020",14,437,5.4065,2,7478,4.56,https://i.ytimg.com/vi/5XuiI2itRus/sddefault.jpg
5,https://rr1---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676854952&ei=SHLyY57FHYb-vATRh4Jo&ip=223.223.140.253&id=o-AIaZJhNHioI5J_-DA1igzabBWogv-p0E3J_sRpH9SCdG&itag=22&source=youtube&requiressl=yes&mh=IH&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h557sn67&ms=au%2Crdu&mv=m&mvi=1&pl=21&initcwndbps=1003750&vprv=1&mime=video%2Fmp4&ratebypass=yes&dur=283.399&lmt=1606298011192408&mt=1676833028&fvip=3&fexp=24007246&c=ANDROID&txp=6216222&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgBTRzUaQKBZ_k0sR4hXmAFvAvmVx04hAlgi0XPtNKk64CIFudNIOd1klhS6F0yrvPa7AOAC8My8JznSAAON56TGsz&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhALE0LFtW7aWEGb9dQP5RE_TQ0Vxs9PJx9OKYBLdbkEmGAiBhXupFJV3E4WBQHdRxaweOuL9ahb70Upur0Qe_ESC_ww%3D%3D,Rang Bhariya - DARBAAN | Full Song | Tabla Cover,"Nov 25, 2020",14,239,5.424,2,3617,5.14,https://i.ytimg.com/vi/FCS7iqWyhTk/hqdefault.jpg
6,https://rr2---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676854954&ei=SnLyY6DkE66Jg8UPxYi2qAI&ip=223.223.140.253&id=o-AE50P_X2MuMEAxljqEanxdRP2nEF9iR0oZlr0360vsa6&itag=22&source=youtube&requiressl=yes&mh=Lb&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h557sn6d&ms=au%2Crdu&mv=m&mvi=2&pcm2cms=yes&pl=21&initcwndbps=1062500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=196.185&lmt=1674963084072320&mt=1676833028&fvip=5&fexp=24007246&c=ANDROID&txp=6218224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgDZBKtH4xN0OgYwObVpiF0nBCPPB3KsIySiUYCQRK5c4CICSOOkBwOIzIlQjDTHMjT9zdp5hy_M70wcxnKHxEJbAv&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgLFbGi3UIE07SBw43Dxt_p2lFlf3V8ocIu-tPkplzdMoCIQCvoPsDvAjmeAovVSPsues-MdX8aOQtNXRvoMLu81py6A%3D%3D,Tumi Sondharo Meghomala | Achena Uttam | Robin2bin edition,"Sep 14, 2022",13,177,6.9954,5,1076,8.46,https://i.ytimg.com/vi/JbqTcKAWGxw/sddefault.jpg
7,https://rr1---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676854956&ei=THLyY6WfBY6dg8UPhNeuyAk&ip=223.223.140.253&id=o-AMbM7unCQNmCzdPE6HvOlYaiodx38zcgMxYrREpxIAdm&itag=22&source=youtube&requiressl=yes&mh=GO&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h557sn6e&ms=au%2Crdu&mv=m&mvi=1&pl=21&initcwndbps=1062500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=160.426&lmt=1674333980011273&mt=1676833028&fvip=2&fexp=24007246&c=ANDROID&txp=6211224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgTVOZJ6JAJ8aRnzCpYGPdG4H10lOuysP4GEk5smhrJIsCICpyNci6bS1lSpVaXZZH14b1pjqTogNzgiaz2jhS47Xc&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgBnXGwhTB7GCtgNnuiflPZok1y9ZUbZZSPoPInp1JGTgCIQDxmYUG3jA2eW1uyi1lZsvWR1G3iLvSsuGFCE6VCmEqpg%3D%3D,Modhuro nupuro Rumu jhumu Original song with modern mastering|Nazrul Geeti Anup Ghosal|,"Sep 15, 2020",11,185,5.669,2,2843,5.31,https://i.ytimg.com/vi/4hhaIybrO3k/hqdefault.jpg
8,https://rr2---sn-fpnioxu-jj0z.googlevideo.com/videoplayback?expire=1676854957&ei=TXLyY-vBM7uU9fwPiuqV-AI&ip=223.223.140.253&id=o-ANRcZ3q97YOJzV-CQDi0CxiZVRmFdujBDFhRLh5DZk9D&itag=22&source=youtube&requiressl=yes&mh=Pq&mm=31%2C29&mn=sn-fpnioxu-jj0z%2Csn-h5576nsd&ms=au%2Crdu&mv=m&mvi=2&pl=21&pcm2=yes&initcwndbps=1003750&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=278.662&lmt=1617188297882179&mt=1676833028&fvip=2&fexp=24007246&c=ANDROID&txp=6211222&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cpcm2%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRgIhALDg11A4QFkxPrvU3bFdaDUxXKTTxmsUixn1ixhxVPbyAiEAyNA26weacG90cSFAwX67VhtuvJPkTjeQh9LMG_T0-Os%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgTcPl-16q9OcC9pFBZln_UUQN8gajBizkCmDGdZb7E3gCIQCPPsZjbZC8COf-F-JbYQnDoXMt97Bavp1GrsVMqEaYEg%3D%3D,Tujhe Bhoolna Toh Chaaha -  Drumpad and tabla cover | Rochak K ft. Jubin N,"Mar 31, 2021",11,249,6.541,2,1440,10.42,https://i.ytimg.com/vi/_-DEF60HxtA/sddefault.jpg
9,https://rr3---sn-fpnioxu-jj0s.googlevideo.com/videoplayback?expire=1676854959&ei=T3LyY6D7JoiIvwTT5bCwAw&ip=223.223.140.253&id=o-ACCA1NpRqRRuDUQKql4xkGRZjij1aAJhIc0XBaSn9bv5&itag=18&source=youtube&requiressl=yes&mh=g5&mm=31%2C29&mn=sn-fpnioxu-jj0s%2Csn-h5576nss&ms=au%2Crdu&mv=m&mvi=3&pcm2cms=yes&pl=21&initcwndbps=1062500&vprv=1&mime=video%2Fmp4&cnr=14&ratebypass=yes&dur=212.160&lmt=1675130462469366&mt=1676833028&fvip=5&fexp=24007246&c=ANDROID&txp=6219224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIgS4zn2fTsgwGSs_a-oA8qMEzOcbtLWfuvQodteESbKJsCIQDuhtJRFJrk-vROZvBdijjCJU4SzgtBtmHAEuq29ulstA%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgNaZ6AMRvnVIUBv-xCmsLK9_pIwJ-YJkpgRqFAOF8Wu0CIQCoAiGG4HMuv4oiUJjFz3WOieCeFjHoY9x4rilPAlO9tQ%3D%3D,Nach Meri Rani | Full song tabla || Electronic tabla version,"Oct 20, 2020",9,90,1.3638,0,2143,2.89,https://i.ytimg.com/vi/Lk0TUNXbutk/sddefault.jpg
